id,amount,accepted
1,10269,true
2,5802,true
3,43061,true
4,31057,true
5,18208,true
6,37218,true
7,15377,false
8,21675,false
9,27338,true
10,29511,true
11,34564,true
12,49822,false
13,4206,true
14,6715,false
15,19010,true
16,5735,true
17,34204,true
18,27628,false
19,14528,false
20,22167,false
21,19841,false
22,41080,true
23,7700,false
24,5262,true
25,35877,true
26,19140,false
27,3794,false
28,37502,true
29,16883,false
30,44469,true
31,35038,true
32,42008,true
33,25859,true
34,35474,false
35,26611,false
36,6384,true
37,26414,false
38,9023,false
39,8063,true
40,46927,true
41,3262,true
42,11517,false
43,15425,false
44,46074,true
45,23599,false
46,48649,true
47,30763,true
48,19693,false
49,32838,true
50,13854,false
51,4191,true
52,32865,false
53,16461,false
54,9561,true
55,18793,false
56,15369,true
57,44926,false
58,16484,true
59,12872,true
60,7557,true
61,11017,false
62,10622,false
63,22441,false
64,18912,true
65,17985,false
66,47098,true
67,20495,true
68,16985,false
69,37392,true
70,36782,true
71,21414,true
72,3513,false
73,7824,true
74,31439,false
75,39365,true
76,42157,true
77,32759,false
78,43703,false
79,8941,false
80,45999,false
81,4670,false
82,24822,true
83,25012,false
84,20358,true
85,35551,false
86,33103,true
87,32553,false
88,21631,true
89,22493,true
90,18976,true
91,49544,true
92,38765,false
93,19824,true
94,17615,true
95,26435,true
96,41923,false
97,3657,true
98,45378,false
99,12187,true
100,14646,true
